FIPS,NAMELSAD,median_renter_wage
0600000US4210349408,Milford township,28929.0
0600000US4210357728,Palmyra township,29125.0
0600000US4210370496,Shohola township,34938.0
0600000US4202179360,Upper Yoder township,26534.0
0600000US4202181200,Washington township,58125.0
0600000US4202183584,Westmont borough,34464.0
0600000US4202185528,Wilmore borough,47750.0
0600000US4204332040,Halifax township,38945.0
0600000US4204305856,Berrysburg borough,47500.0
0600000US4204318272,Dauphin borough,49583.0
0600000US4204321208,East Hanover township,49167.0
0600000US4204330600,Gratz borough,0.0
0600000US4204332032,Halifax borough,29375.0
0600000US4209931440,Greenwood township,63750.0
0600000US4204334664,Highspire borough,27961.0
0600000US4204337864,Jefferson township,0.0
0600000US4207745168,Lowhill township,80833.0
0600000US4207779288,Upper Saucon township,64323.0
0600000US4204345056,Lower Paxton township,45320.0
0600000US4204345600,Lykens township,50000.0
0600000US4204349264,Mifflin township,38594.0
0600000US4204349680,Millersburg borough,39087.0
0600000US4204358504,Paxtang borough,41563.0
0600000US4204358712,Penbrook borough,31719.0
0600000US4204385232,Williams township,25703.0
0600000US4205330808,Green township,16250.0
0600000US4205163904,Redstone township,16811.0
0600000US4205167640,Saltlick township,35526.0
0600000US4205173064,Springfield township,49777.0
0600000US4205173240,Springhill township,38611.0
0600000US4205178528,Uniontown city,22267.0
0600000US4205148616,Menallen township,20829.0
0600000US4205154392,Nicholson township,0.0
0600000US4205137872,Jefferson township,33810.0
0600000US4209936000,Howe township,71875.0
0600000US4209937440,Jackson township,38500.0
0600000US4209941272,Landisburg borough,48000.0
0600000US4202903384,Atglen borough,33472.0
0600000US4202903656,Avondale borough,65781.0
0600000US4202919752,Downingtown borough,52532.0
0600000US4202920864,East Brandywine township,38015.0
0600000US4202921480,East Marlborough township,77545.0
0600000US4205110152,Bullskin township,23878.0
0600000US4205115784,Connellsville township,32143.0
0600000US4205120224,Dunbar township,33750.0
0600000US4205127400,Franklin township,73241.0
0600000US4205128856,German township,0.0
0600000US4205145560,Luzerne township,0.0
0600000US4210983808,West Perry township,66250.0
0600000US4209947968,Marysville borough,47656.0
0600000US4209949720,Millerstown borough,0.0
0600000US4209953320,New Buffalo borough,0.0
0600000US4206136368,Huntingdon borough,27475.0
0600000US4202758800,Penn township,30000.0
0600000US4203960312,Pine township,34107.0
0600000US4203965440,Rockdale township,36797.0
0600000US4203967088,Sadsbury township,57813.0
0600000US4200715872,Conway borough,21917.0
0600000US4200727312,Frankfort Springs borough,46563.0
0600000US4200747432,Marion township,45521.0
0600000US4200779856,Vanport township,35645.0
0600000US4202760008,Philipsburg borough,17202.0
0600000US4202762360,Potter township,61477.0
0600000US4202776168,Taylor township,35833.0
0600000US4202778616,Unionville borough,0.0
0600000US4206976648,Throop borough,32723.0
0600000US4204363928,Reed township,25000.0
0600000US4204366560,Royalton borough,42404.0
0600000US4204366744,Rush township,45625.0
0600000US4204372200,South Hanover township,67721.0
0600000US4204373888,Steelton borough,31219.0
0600000US4204381216,Washington township,31793.0
0600000US4205332704,Harmony township,39464.0
0600000US4205339760,Kingsley township,0.0
0600000US4205376864,Tionesta township,0.0
0600000US4211527448,Franklin township,38333.0
0600000US4209953968,Newport borough,39740.0
0600000US4209954968,Northeast Madison township,30417.0
0600000US4209956728,Oliver township,27237.0
0600000US4209972624,Southwest Madison township,54375.0
0600000US4209977960,Tuscarora township,37500.0
0600000US4210900316,Adams township,48194.0
0600000US4210904736,Beaver township,0.0
0600000US4210904848,Beavertown borough,38750.0
0600000US4210912060,Center township,39500.0
0600000US4210927440,Franklin township,27364.0
0600000US4210927696,Freeburg borough,40833.0
0600000US4210948960,Middleburg borough,37833.0
0600000US4204381744,Wayne township,84375.0
0600000US4204383128,West Hanover township,0.0
0600000US4204384976,Wiconisco township,23125.0
0600000US4204323024,Elizabethville borough,32448.0
0600000US4208915960,Coolbaugh township,43141.0
0600000US4211527968,Friendsville borough,0.0
0600000US4211537464,Jackson township,50750.0
0600000US4211575568,Susquehanna Depot borough,24630.0
0600000US4208949080,Middle Smithfield township,53036.0
0600000US4208976960,Tobyhanna township,44917.0
0600000US4207706088,Bethlehem city,38279.0
0600000US4207767576,Salisbury township,43284.0
0600000US4207781280,Washington township,41318.0
0600000US4209943968,Liverpool borough,28333.0
0600000US4209966976,Rye township,56667.0
0600000US4210950488,Monroe township,0.0
0600000US4212905208,Bell township,41458.0
0600000US4212919480,Donegal township,0.0
0600000US4212933792,Hempfield township,30559.0
0600000US4212979776,Vandergrift borough,22646.0
0600000US4201585544,Wilmot township,35833.0
0600000US4203306288,Bigler township,20735.0
0600000US4203308120,Brady township,30750.0
0600000US4203308744,Brisbin borough,34167.0
0600000US4212941834,Laurel Mountain borough,0.0
0600000US4212952432,Murrysville municipality,48048.0
0600000US4212955128,North Huntingdon township,41575.0
0600000US4212969392,Sewickley township,53056.0
0600000US4212972256,South Huntingdon township,36759.0
0600000US4212924608,Fairfield township,51771.0
0600000US4203310280,Burnside borough,0.0
0600000US4200502720,Apollo borough,22554.0
0600000US4200507416,Boggs township,0.0
0600000US4201912992,Cherry township,50625.0
0600000US4212941680,Latrobe borough,29236.0
0600000US4210714600,Coaldale borough,27250.0
0600000US4210730128,Gordon borough,0.0
0600000US4210741264,Landingville borough,71250.0
0600000US4210765000,Ringtown borough,44792.0
0600000US4206749304,Mifflintown borough,33438.0
0600000US4203313240,Chester Hill borough,16731.0
0600000US4203314656,Coalport borough,15000.0
0600000US4203316656,Covington township,53750.0
0600000US4203317840,Curwensville borough,20395.0
0600000US4203325632,Ferguson township,31563.0
0600000US4203330272,Graham township,0.0
0600000US4208585992,Wolf Creek township,33125.0
0600000US4211185632,Windber borough,28799.0
0600000US4208513832,Clark borough,35893.0
0600000US4208543104,Liberty township,55260.0
0600000US4208559496,Perry township,40288.0
0600000US4208718944,Derry township,29643.0
0600000US4208756720,Oliver township,34500.0
0600000US4209343112,Liberty township,40250.0
0600000US4209348152,Mayberry township,28000.0
0600000US4209379552,Valley township,48235.0
0600000US4209381424,Washingtonville borough,22500.0
0600000US4209316048,Cooper township,64583.0
0600000US4210570304,Shinglehouse borough,14917.0
0600000US4208974888,Stroudsburg borough,26919.0
0600000US4208918736,Delaware Water Gap borough,50313.0
0600000US4205531720,Guilford township,39237.0
0600000US4205550616,Montgomery township,73966.0
0600000US4205567400,St. Thomas township,27209.0
0600000US4205581240,Washington township,41393.0
0600000US4200510344,Burrell township,18750.0
0600000US4200516728,Cowanshannock township,39000.0
0600000US4200521160,East Franklin township,58824.0
0600000US4200526512,Ford City borough,27500.0
0600000US4200527784,Freeport borough,31360.0
0600000US4200529184,Gilpin township,35682.0
0600000US4200535936,Hovey township,71250.0
0600000US4200540040,Kittanning borough,22747.0
0600000US4200540056,Kittanning township,21250.0
0600000US4200546632,Mahoning township,32404.0
0600000US4200547064,Manorville borough,38125.0
0600000US4200554728,North Apollo borough,31875.0
0600000US4200554856,North Buffalo township,29097.0
0600000US4200557976,Parker city,21172.0
0600000US4210535400,Homer township,40000.0
0600000US4208781784,Wayne township,30192.0
0600000US4205530944,Greene township,57282.0
0600000US4210500836,Allegany township,0.0
0600000US4200558160,Parks township,27543.0
0600000US4200560280,Pine township,19750.0
0600000US4200561576,Plumcreek township,44500.0
0600000US4200563560,Rayburn township,35000.0
0600000US4212915912,Cook township,18750.0
0600000US4212967240,St. Clair township,24125.0
0600000US4212978656,Unity township,47902.0
0600000US4212900332,Adamsburg borough,42031.0
0600000US4212903088,Arnold city,24496.0
0600000US4207919616,Dorrance township,38333.0
0600000US4200571968,South Bend township,42500.0
0600000US4200571976,South Bethlehem borough,18750.0
